pesticide_name	food_type	limi_mg_kg
글루포시네이트	커피원두	0.1
글루포시네이트	콜라비	0.05
글루포시네이트	키위	0.05
글루포시네이트	토마토	0.05
글루포시네이트	파	0.05
글루포시네이트	팥	0.05
글루포시네이트	포도	0.05
글루포시네이트	표고버섯	0.05
글루포시네이트	풋마늘	0.05
글루포시네이트	풋콩	0.05
글루포시네이트	해바라기씨	0.05
글루포시네이트	핵과류	0.05
글루포시네이트	호박	0.05
글루포시네이트	호프	0.9
글리포세이트	가금류고기	0.1
글리포세이트	가금류부산물	0.5
글리포세이트	감귤	0.5
글리포세이트	감자	0.05
글리포세이트	강낭콩	3
글리포세이트	견과류	1
글리포세이트	고사리	0.05
글리포세이트	고추	0.2
글리포세이트	귀리	20
글리포세이트	기장	0.05
글리포세이트	당근	0.05
글리포세이트	대두	15
글리포세이트	대추	0.05
글리포세이트	도라지	0.05
글리포세이트	돼지부산물	1
글리포세이트	두류	5
글리포세이트	두릅	0.03
글리포세이트	땅콩	0.05
글리포세이트	레몬	0.05
글리포세이트	마늘	0.05
글리포세이트	매실	0.05
글리포세이트	메밀	0.05
글리포세이트	면실	15
글리포세이트	무(뿌리)	0.05
글리포세이트	밀	5
글리포세이트	밤	0.05
글리포세이트	배추	0.03
글리포세이트	보리	20
글리포세이트	복분자	0.05
글리포세이트	복숭아	0.05
글리포세이트	블루베리	0.05
글리포세이트	비트(뿌리)	0.05
글리포세이트	사탕무	10
글리포세이트	사탕수수	2
글리포세이트	살구	0.05
글리포세이트	수삼	0.05
글리포세이트	수수	30
글리포세이트	쌀	0.05
글리포세이트	알	0.1
글리포세이트	양배추	0.05
글리포세이트	엇갈이배추	0.03
글리포세이트	열대과일류	0.05
글리포세이트	오렌지	0.05
글리포세이트	옥수수	3
글리포세이트	올리브(열매)	1
글리포세이트	유	0.1
글리포세이트	유채씨	15
글리포세이트	인과류	0.2
글리포세이트	자두	0.05
글리포세이트	자몽	0.05
글리포세이트	차	0.8
글리포세이트	참깨	0.05
글리포세이트	체리	0.05
글리포세이트	커피원두	1
글리포세이트	콜라비	0.05
글리포세이트	크랜베리	0.05
글리포세이트	파	0.05
글리포세이트	포도	0.2
글리포세이트	포유류고기	0.1
글리포세이트	포유류부산물(돼지부산물 제외)	5
글리포세이트	표고버섯	0.05
글리포세이트	풋콩	0.03
글리포세이트	호박	0.05
글리포세이트	호프	0.05
나프로파마이드	감귤	0.1
나프로파마이드	감자	0.1
나프로파마이드	갓	0.03
나프로파마이드	고추	0.1
나프로파마이드	대두	0.05
나프로파마이드	더덕	0.1
나프로파마이드	도라지	0.03
나프로파마이드	동부	0.03
나프로파마이드	돼지감자	0.03
나프로파마이드	들깨	0.05
나프로파마이드	들깻잎	0.03
나프로파마이드	딸기	0.05
나프로파마이드	땅콩	0.1
나프로파마이드	마늘	0.05
나프로파마이드	무(뿌리)	0.05
나프로파마이드	무(잎)	0.05
나프로파마이드	배추	0.05
나프로파마이드	부추	0.05
나프로파마이드	브로콜리	0.05
나프로파마이드	비트(뿌리)	0.03
나프로파마이드	비트(잎)	0.03
나프로파마이드	시금치	0.2
나프로파마이드	쑥갓	0.05
나프로파마이드	양배추	0.1
나프로파마이드	엇갈이배추	0.1
나프로파마이드	유채	0.03
나프로파마이드	참깨	0.05
나프로파마이드	참나물	0.05
나프로파마이드	취나물	0.1
나프로파마이드	콜라비	0.03
나프로파마이드	토란	0.03
나프로파마이드	토란(줄기)	0.03
나프로파마이드	토마토	0.05
나프로파마이드	풋마늘	0.05
나프로파마이드	풋콩	0.05
노발루론	가금류고기	0.03
노발루론	가금류부산물	0.1
노발루론	가금류지방	0.5
노발루론	가지	0.3
노발루론	감	0.5
노발루론	감귤	0.5
노발루론	갓	2
노발루론	건삼	1.5
노발루론	고구마	0.05
노발루론	고추	1.5
노발루론	고추냉이(뿌리)	0.05
노발루론	고추냉이(잎)	15
노발루론	구기자(건조)	5
노발루론	근대	15
노발루론	녹두	0.5
노발루론	당근	0.05
노발루론	대두	0.05
노발루론	대추	0.7
노발루론	대추(건조)	1
노발루론	도라지	0.05
노발루론	들깻잎	20
노발루론	딸기	1
노발루론	땅콩	0.05
노발루론	마늘	0.03
노발루론	머위	10
노발루론	멜론	1
노발루론	면실	0.5
노발루론	모과	1
노발루론	무(뿌리)	0.05
노발루론	무(잎)	7
노발루론	미나리	1
노발루론	방울다다기양배추	2
노발루론	배	1
노발루론	배추	0.7
노발루론	복분자	2
노발루론	복숭아	1.9
노발루론	부추	10
노발루론	브로콜리	2
노발루론	블루베리	7
노발루론	비름나물	15
노발루론	사과	1
노발루론	살구	0.7
노발루론	생강	0.05
노발루론	셀러리	1
노발루론	수박	0.5
노발루론	수삼	0.5
노발루론	순무	0.05
노발루론	시금치	5
노발루론	쌀	0.07
노발루론	쑥갓	20
노발루론	아로니아	2
노발루론	아스파라거스	1
노발루론	아욱	15
노발루론	알	0.1
노발루론	양배추	2
노발루론	양상추	4
노발루론	양파	0.03
노발루론	엇갈이배추	2
노발루론	엽경채류	5
노발루론	오미자	1.5
노발루론	오이	0.5
노발루론	옥수수	0.05
노발루론	우엉	0.5
노발루론	우엉잎	10
노발루론	유	0.4
노발루론	유자	0.5
노발루론	유채	20
노발루론	유채씨	2
노발루론	율무	0.07
노발루론	자두	0.2
노발루론	차	5
노발루론	차즈기(잎)	20
노발루론	참깨	0.7
노발루론	참나물	10
노발루론	참외	0.5
노발루론	청경채	9
노발루론	체리	7
노발루론	취나물	5
노발루론	케일	15
노발루론	콜라비	0.05
노발루론	토란	0.05
노발루론	토마토	0.5
노발루론	파	0.7
노발루론	파슬리	15
노발루론	패션프루트	0.2
노발루론	포도	2
노발루론	포유류고기	0.5
노발루론	포유류부산물	0.7
노발루론	포유류지방	10
노발루론	풋콩	1
노발루론	피망	1.5
노발루론	호박	0.15
니코설퓨론	옥수수	0.3
니트라피린	감자	0.6
니트라피린	밀	0.5
니트라피린	수수	0.1
니트라피린	옥수수	0.1
다이뮤론	쌀	0.05
다이아지논	가금류고기	0.02
다이아지논	가금류부산물	0.02
다이아지논	감	0.05
다이아지논	감자	0.02
다이아지논	겨자채	0.05
다이아지논	고추	0.05
다이아지논	고추(건조)	0.3
다이아지논	고춧잎	0.05
다이아지논	돼지고기	0.7
다이아지논	마늘	0.05
다이아지논	배추	0.05
다이아지논	배추(건조)	0.3
다이아지논	사과	0.05
다이아지논	소고기	0.7
다이아지논	알	0.02
다이아지논	양고기	0.7
다이아지논	엇갈이배추	0.1
다이아지논	오이	0.03
다이아지논	유	0.02
다이아지논	참외	0.02
다이아지논	포도	0.05
다이아지논	풋마늘	0.05
다이아지논	피망	0.05
다이쾃	가금류고기	0.05
다이쾃	가금류부산물	0.05
다이쾃	감자	0.08
다이쾃	대두	0.3
다이쾃	두류	0.9
다이쾃	알	0.05
다이쾃	유	0.01
다이쾃	유채씨	1.5
다이쾃	포유류고기	0.05
다이쾃	포유류부산물	0.05
다조멧	마늘	0.1
다조멧	멜론	0.1
다조멧	상추	0.1
다조멧	생강	0.1
다조멧	수박	0.1
다조멧	참외	0.1
다조멧	토마토	0.1
델타메트린	가지	0.07
델타메트린	감귤	0.5
델타메트린	감자	0.01
델타메트린	갓	1
델타메트린	강낭콩	0.05
델타메트린	건삼	0.05
델타메트린	고구마	0.05
델타메트린	고수(잎)	1.5
델타메트린	고추	0.2
델타메트린	고춧잎	5
델타메트린	곡류(쌀 제외)	2
델타메트린	구기자(건조)	2
델타메트린	근대	2
델타메트린	꾸지뽕(열매)	0.15
델타메트린	녹두	0.05
델타메트린	눈개승마	1.5
델타메트린	다래	0.2
델타메트린	달래	0.5
델타메트린	당귀(잎)	2
델타메트린	당근	0.05
델타메트린	대두	0.1
델타메트린	대추	0.2
델타메트린	대추(건조)	0.7
델타메트린	더덕	0.05
델타메트린	도라지	0.05
델타메트린	돌나물	2
델타메트린	동부	0.05
델타메트린	들깨	0.03
델타메트린	들깻잎	2
델타메트린	딸기	0.05
델타메트린	레몬	0.2
델타메트린	마가목(열매)	2
델타메트린	마늘	0.05
델타메트린	망고	0.07
델타메트린	매실	0.5
델타메트린	머위	2
델타메트린	멜론	0.05
델타메트린	무(뿌리)	0.05
델타메트린	무(잎)	0.5
델타메트린	미나리	4
델타메트린	밀	2
델타메트린	바질	1.5
델타메트린	밤	0.05
델타메트린	배추	0.3
델타메트린	복분자	0.2
델타메트린	복숭아	0.5
델타메트린	부추	2
델타메트린	브로콜리	0.2
델타메트린	블루베리	0.7
델타메트린	비름나물	2
델타메트린	비트(뿌리)	0.05
델타메트린	산마늘잎	2
델타메트린	산수유	0.3
델타메트린	살구	0.3
델타메트린	상추	0.7
델타메트린	생강	0.05
델타메트린	수박	0.05
델타메트린	수삼	0.05
델타메트린	순무	0.05
델타메트린	시금치	1.5
델타메트린	쌀	0.3
델타메트린	쑥	0.2
델타메트린	쑥갓	0.3
델타메트린	아로니아	0.5
델타메트린	아욱	2
델타메트린	양배추	0.2
델타메트린	양상추	0.7
델타메트린	양파	0.05
델타메트린	엇갈이배추	1
델타메트린	엽경채류	0.3
델타메트린	엽채류	1
델타메트린	오디	0.5
델타메트린	오렌지	0.2
델타메트린	오미자	0.3
델타메트린	오이	0.5
델타메트린	옥수수	1.5
델타메트린	완두	0.05
델타메트린	용과	0.2
델타메트린	우엉	0.05
델타메트린	유자	0.5
델타메트린	유채씨	0.05
델타메트린	인과류	0.5
델타메트린	자두	0.1
델타메트린	작두콩	0.7
델타메트린	차	5
델타메트린	차즈기(잎)	2
델타메트린	참깨	0.5
델타메트린	참나물	2
델타메트린	참외	0.05
델타메트린	체리	0.3
델타메트린	취나물	2
델타메트린	케일	2
델타메트린	콜라비	0.05
델타메트린	키위	0.05
델타메트린	토란	0.05
델타메트린	파	0.3
델타메트린	파슬리	2
델타메트린	팥	0.05
델타메트린	포도	0.2
델타메트린	풋마늘	0.4
델타메트린	풋콩	0.3
델타메트린	피망	0.2
델타메트린	호두	0.05
델타메트린	호박	0.05
델타메트린	호박잎	1
델타메트린	호프	0.5
디노테퓨란	가지	0.5
디노테퓨란	감귤	1
디노테퓨란	감자	0.1
디노테퓨란	갓	0.1
디노테퓨란	건삼	0.05
디노테퓨란	겨자채	2
디노테퓨란	경수채	10
디노테퓨란	고구마	0.05
디노테퓨란	고구마줄기	0.05
디노테퓨란	고들빼기	9
디노테퓨란	고려엉겅퀴	9
디노테퓨란	고사리(건조)	5
디노테퓨란	고수(잎)	10
디노테퓨란	고추	2
디노테퓨란	고추냉이(잎)	0.5
디노테퓨란	공심채	9
디노테퓨란	구기자	2
디노테퓨란	구기자(건조)	5
디노테퓨란	근대	9
디노테퓨란	기장	5
디노테퓨란	냉이	9
디노테퓨란	녹두	0.5
디노테퓨란	다채	7
디노테퓨란	달래	0.7
디노테퓨란	당귀(잎)	9
디노테퓨란	당근	0.07
디노테퓨란	대두	0.05
디노테퓨란	대추	2
디노테퓨란	대추(건조)	5
디노테퓨란	동부	0.1
디노테퓨란	두릅	2
디노테퓨란	들깨	0.03
디노테퓨란	들깻잎	30
디노테퓨란	딸기	3
디노테퓨란	땅콩	0.07
디노테퓨란	레몬	2
디노테퓨란	루꼴라	10
디노테퓨란	마늘	0.05
디노테퓨란	망고	1
디노테퓨란	매실	2
디노테퓨란	머위	9
디노테퓨란	멜론	1
디노테퓨란	무(뿌리)	1
디노테퓨란	무(잎)	3
디노테퓨란	무화과	1
디노테퓨란	밀	0.05
디노테퓨란	밤	0.05
디노테퓨란	배추	1
디노테퓨란	복분자	2
디노테퓨란	복숭아	0.5
디노테퓨란	부추	3
디노테퓨란	브로콜리	2
디노테퓨란	블루베리	1
디노테퓨란	비름나물	9
디노테퓨란	비트(뿌리)	0.2
디노테퓨란	비트(잎)	10
디노테퓨란	뽕(잎)	15
디노테퓨란	살구	1
디노테퓨란	상추	25
디노테퓨란	수박	0.5
디노테퓨란	수삼	0.05
디노테퓨란	수수	1
디노테퓨란	순무	0.07
디노테퓨란	순무유채	9
디노테퓨란	시금치	10
디노테퓨란	신선초	10
디노테퓨란	쌀	1
디노테퓨란	쑥	0.3
디노테퓨란	쑥갓	9
디노테퓨란	아로니아	0.7
디노테퓨란	아욱	9
디노테퓨란	양배추	0.3
디노테퓨란	양상추	25
디노테퓨란	어수리	9
디노테퓨란	엇갈이배추	3
디노테퓨란	오디	1
디노테퓨란	오렌지	2
디노테퓨란	오이	1
디노테퓨란	옥수수	0.05
디노테퓨란	완두	0.2
디노테퓨란	우엉	0.7
디노테퓨란	우엉잎	20
디노테퓨란	유자	1
디노테퓨란	유채	10
디노테퓨란	율무	5
디노테퓨란	인과류	0.5
디노테퓨란	자두	2
디노테퓨란	잣	0.05
디노테퓨란	조	5
디노테퓨란	차	25
디노테퓨란	참외	2
디노테퓨란	청경채	9
디노테퓨란	체리	1.5
디노테퓨란	취나물	9
디노테퓨란	치커리	9
디노테퓨란	케일	2
디노테퓨란	콜라비	0.05
디노테퓨란	키위	3
디노테퓨란	토마토	1
디노테퓨란	파	7
디노테퓨란	파슬리	9
디노테퓨란	파파야	1
디노테퓨란	팥	0.2
디노테퓨란	패션프루트	1.5
디노테퓨란	포도	5
디노테퓨란	풋마늘	0.7
디노테퓨란	풋콩	0.7
디노테퓨란	피망	2
디노테퓨란	호박	2
디노테퓨란	호박잎	5
디니코나졸	감자	0.05
디니코나졸	마늘	0.05
디니코나졸	무(뿌리)	0.05
디니코나졸	무(잎)	2
디니코나졸	배	1
디니코나졸	배추	0.1
디니코나졸	브로콜리	0.2
디니코나졸	사과	1
디니코나졸	셀러리	3
디니코나졸	양배추	0.1
디니코나졸	엇갈이배추	0.3
디니코나졸	엽경채류	0.3
디니코나졸	엽채류	0.3
디니코나졸	풋마늘	0.3
디디티	가금류고기	0.3
디디티	곡류	0.01
디디티	당근	0.01
디디티	수삼	0.01
디디티	알	0.1
디디티	유	0.02
디디티	포유류고기	5
디디티	허브류(생)	0.01
디메타메트린	쌀	0.1
디메테나미드	가금류고기	0.01
디메테나미드	가금류부산물	0.01
디메테나미드	가금류지방	0.01
디메테나미드	감자	0.1
디메테나미드	고추	0.05
디메테나미드	대두	0.01
디메테나미드	마늘	0.05
디메테나미드	생강	0.2
디메테나미드	알	0.01
디메테나미드	양배추	0.07
디메테나미드	양파	0.05
디메테나미드	옥수수	0.1
디메테나미드	유	0.01
디메테나미드	포유류고기	0.01
디메테나미드	포유류부산물	0.01
디메테나미드	포유류지방	0.01
디메테나미드	풋마늘	0.05
디메테나미드	피망	0.05
디메테나미드	호프	0.05
디메토모르프	가금류고기	0.01
디메토모르프	가금류부산물	0.01
디메토모르프	가금류지방	0.01
디메토모르프	가지	1
디메토모르프	감	0.2
디메토모르프	감귤	1
디메토모르프	감자	0.1
디메토모르프	갓	5
디메토모르프	건삼	15
디메토모르프	고구마	0.05
디메토모르프	고구마줄기	0.05
디메토모르프	고추	5
디메토모르프	고추냉이(뿌리)	0.7
디메토모르프	구기자(건조)	5
디메토모르프	귀리	0.5
디메토모르프	근대	30
디메토모르프	녹두	0.5
디메토모르프	당귀(잎)	25
디메토모르프	당근	0.3
디메토모르프	대두	0.07
디메토모르프	대추	5
디메토모르프	대추(건조)	7
디메토모르프	더덕	0.3
디메토모르프	도라지	0.05
디메토모르프	둥굴레(뿌리)	0.05
디메토모르프	둥굴레(뿌리, 건조)	0.05
디메토모르프	들깨	0.07
디메토모르프	들깻잎	20
디메토모르프	딸기	2
디메토모르프	마	0.05
디메토모르프	마(건조)	0.05
디메토모르프	마가목(열매)	3
디메토모르프	마늘	0.05
디메토모르프	망고	3
디메토모르프	메밀	3
디메토모르프	멜론	0.7
디메토모르프	무(뿌리)	0.5
디메토모르프	무(잎)	15
디메토모르프	무화과	3
디메토모르프	밀	0.2
디메토모르프	바질	30
디메토모르프	박	2
디메토모르프	배추	2
디메토모르프	배추(건조)	2.5
디메토모르프	보리	2
디메토모르프	복분자	5
디메토모르프	복숭아	0.5
디메토모르프	브로콜리	1
디메토모르프	블루베리	5
디메토모르프	비름나물	5
디메토모르프	비트(뿌리)	0.07
디메토모르프	사과	0.1
디메토모르프	사탕무	0.09
디메토모르프	산초(열매)	0.7
디메토모르프	상추	20
디메토모르프	생강	1
디메토모르프	석류	0.3
디메토모르프	수박	0.1
디메토모르프	수삼	3
디메토모르프	순무	0.7
디메토모르프	시금치	20
디메토모르프	쑥갓	20
디메토모르프	알	0.01
디메토모르프	양배추	7
디메토모르프	양파	0.2
디메토모르프	엇갈이배추	5
디메토모르프	엇갈이배추(건조)	7
디메토모르프	엽경채류	7
디메토모르프	엽채류	30
디메토모르프	오미자	5
디메토모르프	오미자(건조)	15
디메토모르프	오이	0.7
디메토모르프	우엉	0.5
디메토모르프	유	0.01
디메토모르프	유자	7
디메토모르프	유채씨	3
디메토모르프	인삼농축액	3
디메토모르프	조	2
디메토모르프	차	5
디메토모르프	참깨	0.5
디메토모르프	참외	0.5
디메토모르프	청경채	20
디메토모르프	치커리(뿌리)	0.3
디메토모르프	퀴노아	3
디메토모르프	키위	15
디메토모르프	토마토	5
디메토모르프	파	3
디메토모르프	파(건조)	15
디메토모르프	패션프루트	10
디메토모르프	포도	2
디메토모르프	포유류고기	0.01
디메토모르프	포유류부산물	0.01
디메토모르프	포유류지방	0.01
디메토모르프	풋콩	3
디메토모르프	피망	5
디메토모르프	해바라기씨	5
디메토모르프	허브류(생)	20
디메토모르프	호박	1.5
디메토모르프	호프	70
디메토모르프	홍삼	10
디메토모르프	홍삼농축액	3
디메토모르프	홍화씨	0.3
디메토에이트	가금류고기	0.05
디메토에이트	가금류부산물	0.05
디메토에이트	가금류지방	0.05
디메토에이트	돼지고기	0.05
디메토에이트	마늘	0.5
디메토에이트	말고기	0.05
디메토에이트	부추	0.05
디메토에이트	사과	0.5
디메토에이트	소고기	0.05
디메토에이트	소부산물	0.05
디메토에이트	알	0.05
디메토에이트	양고기	0.05
디메토에이트	양부산물	0.05
디메토에이트	양파	0.2
디메토에이트	염소고기	0.05
디메토에이트	유	0.05
디메토에이트	파	0.6
디메토에이트	포유류지방	0.05
디메토에이트	풋마늘	1
디메티핀	가금류고기	0.01
디메티핀	가금류부산물	0.01
디메티핀	알	0.01
디메티핀	유	0.01
디메티핀	포유류고기	0.01
디메티핀	포유류부산물	0.01
디비이디시	수박	0.2
디비이디시	오이	3
디비이디시	참외	2
디비이디시	호박	3
디설포톤	가금류고기	0.02
디설포톤	달걀	0.02
디설포톤	유	0.01
디아펜티우론	오이	2
디에토펜카브	가지	1
디에토펜카브	감귤	0.5
디에토펜카브	건삼	0.3
디에토펜카브	고추	1
디에토펜카브	고추(건조)	3
디에토펜카브	고춧잎	2
디에토펜카브	당근	1.5
디에토펜카브	대추	7
디에토펜카브	돌나물	20
디에토펜카브	들깻잎	20
디에토펜카브	딸기	5
디에토펜카브	망고	0.7
디에토펜카브	무화과	0.3
디에토펜카브	바나나	0.09
디에토펜카브	복분자	5
디에토펜카브	복숭아	0.3
디에토펜카브	브로콜리	3
디에토펜카브	블루베리	1
디에토펜카브	석류	1.5
디에토펜카브	수삼	0.3
디에토펜카브	쑥갓	30
디에토펜카브	아로니아	1
디에토펜카브	양배추	0.1
디에토펜카브	양파	0.05
디에토펜카브	엽경채류	15
디에토펜카브	엽채류	30
디에토펜카브	오디	10
디에토펜카브	오미자	0.3
디에토펜카브	오미자(건조)	1.5
디에토펜카브	오이	0.5
디에토펜카브	유채	3
디에토펜카브	유채씨	0.05
디에토펜카브	인삼농축액	2
디에토펜카브	자두	0.5
디에토펜카브	참나물	5
디에토펜카브	체리	2
디에토펜카브	케일	40
디에토펜카브	키위	3
디에토펜카브	토마토	3
디에토펜카브	파	10
디에토펜카브	포도	2
디에토펜카브	피망	5
디에토펜카브	홍삼	0.3
디에토펜카브	홍삼농축액	2
디에토펜카브	홍화씨	0.2
디캄바	대두	10
디캄바	면실	3
디캄바	밀	1.5
디캄바	보리	6
디캄바	수수	0.1
디캄바	옥수수	0.01
디코폴	차	20
디클로르보스	가지	0.05
디클로르보스	감	0.05
디클로르보스	감귤	0.2
디클로르보스	감자	0.05
디클로르보스	고추	0.05
디클로르보스	당근	0.05
디클로르보스	대두	0.05
디클로르보스	대추	0.05
디클로르보스	들깻잎	0.7
디클로르보스	딸기	1
디클로르보스	레몬	0.05
디클로르보스	마늘	0.05
디클로르보스	망고	0.03
디클로르보스	매실	0.05
디클로르보스	멜론	0.05
디클로르보스	무(뿌리)	0.05
디클로르보스	무(잎)	0.05
디클로르보스	밤	0.05
디클로르보스	배	0.05
디클로르보스	배추	0.2
디클로르보스	복숭아	0.05
디클로르보스	부추	0.05
디클로르보스	브로콜리	0.3
디클로르보스	비름나물	0.7
디클로르보스	뽕(잎)	0.05
디클로르보스	사과	0.05
디클로르보스	상추	0.05
디클로르보스	셀러리	0.05
디클로르보스	수박	0.05
디클로르보스	순무	0.05
디클로르보스	시금치	1
디클로르보스	아로니아	0.05
디클로르보스	양배추	0.05
디클로르보스	양상추	0.05
디클로르보스	양파	0.05
디클로르보스	엇갈이배추	0.5
디클로르보스	엽채류	0.6
디클로르보스	오디	0.05
디클로르보스	오렌지	0.05
디클로르보스	오미자	0.05
디클로르보스	오미자(건조)	0.05
디클로르보스	오이	0.1
디클로르보스	옥수수	0.03
디클로르보스	용과	0.05
디클로르보스	유자	0.05
디클로르보스	자두	0.05
디클로르보스	참깨	0.05
디클로르보스	참외	0.05
디클로르보스	콜라비	0.03
디클로르보스	키위	0.05
디클로르보스	파	0.1
디클로르보스	포도	0.05
디클로르보스	표고버섯	0.05
디클로르보스	풋마늘	0.05
디클로르보스	풋콩	0.05
디클로르보스	피망	0.05
디클로르보스	호박	0.05
디클로르보스	호박잎	0.05
디클로르프로프	사과	0.05
디클로베닐	감	0.05
디클로베닐	밤	0.05
디클로베닐	배	0.15
디클로베닐	복숭아	0.05
디클로베닐	사과	0.15
디클로베닐	쌀	0.05
디클로베닐	포도	0.05
디클로벤티아족스	쌀	0.05
디티아논	감	3
디티아논	감귤	3
디티아논	감자	0.1
디티아논	고추	2
디티아논	고춧잎	3
디티아논	구기자	0.3
디티아논	구기자(건조)	1.5
디티아논	근대	10
디티아논	녹두	0.2
디티아논	당근	0.07
디티아논	대두	0.05
디티아논	대추	1
디티아논	대추(건조)	10
디티아논	둥굴레(뿌리)	0.05
디티아논	둥굴레(뿌리, 건조)	0.05
디티아논	딸기	0.05
디티아논	마	0.05
디티아논	마(건조)	0.05
디티아논	마늘	0.1
디티아논	망고	0.3
디티아논	매실	5
디티아논	모과	3
디티아논	배	2
디티아논	배추	0.05
디티아논	복분자	3
디티아논	복숭아	5
디티아논	블루베리	20
디티아논	사과	5
디티아논	살구	5
디티아논	석류	2
디티아논	셀러리	1.5
디티아논	수박	0.3
디티아논	수삼	0.2
디티아논	아로니아	7
디티아논	알로에	1
디티아논	양파	0.1
디티아논	엇갈이배추	0.1
디티아논	오미자	2
디티아논	오미자(건조)	5
디티아논	오이	0.3
디티아논	유자	3
디티아논	자두	6
디티아논	차	1.5
디티아논	참깨	0.5
디티아논	체리	5
디티아논	파	0.3
디티아논	포도	3
디티아논	풋마늘	5
디티아논	풋콩	0.5
디티아논	피망	2
디티아논	호박	0.2
디티아논	호박잎	20
디티아논	홍화씨	0.3
디티오카바메이트	감	0.5
디티오카바메이트	감귤	5
디티오카바메이트	감자	0.3
디티오카바메이트	강낭콩	0.05
디티오카바메이트	건삼	0.3
디티오카바메이트	고려엉겅퀴	5
디티오카바메이트	고추	7
디티오카바메이트	고추냉이(뿌리)	0.03
디티오카바메이트	구기자	5
디티오카바메이트	구기자(건조)	5
디티오카바메이트	녹두	0.05
디티오카바메이트	달래	3
디티오카바메이트	당근	0.2
디티오카바메이트	대두	0.05
디티오카바메이트	대추	7
디티오카바메이트	더덕	0.05
